,rec_name,tot_time_seconds,rec_source,rating
Dr-Pepper-Cherry-Coconut-Brownies-1356399,Dr Pepper® Cherry Coconut Brownies,1800.0,Daily Dish Recipes,4
Chocolate-Brownie-Cupcakes-With-Peanut-Butter-Frosting-_gf_-1684183,Chocolate Brownie Cupcakes With Peanut Butter Frosting (gf),3600.0,Gluten Free Home Bakery,4
Nutella-Brownies-1478710,Nutella Brownies,4500.0,Only Taste Matters,4
Paleo-Mounds-Brownie-1215075,Paleo Mounds Brownie,1980.0,Paleo Baker,4
Fudgy-Black-Bean-Brownies-1336432,Fudgy Black Bean Brownies,4500.0,The Dr.Oz Show,3
Fudgy-Peanut-Butter-Cup-Brownies-with-Caramel-and-Pretzel-Crust-1032675,Fudgy Peanut Butter Cup Brownies with Caramel and Pretzel Crust,3300.0,A Cookie Named Desire,4
Almond-Flour-M_M-Brownies-470674,Almond Flour M&M Brownies,3600.0,Tracey's Culinary Adventures,5
Turtle-Brownies-Allrecipes,Turtle Brownies,3000.0,AllRecipes,4
Paleo-Chocolate-Chunk-Brownie-Bites-748689,Paleo Chocolate Chunk Brownie Bites,2100.0,Holly Would If She Could,4
Salted-Caramel-Mocha-Brownie-Cups-1109464,Salted Caramel Mocha Brownie Cups,2220.0,Inside BruCrew Life,4
Double-Chocolate-Peanut-Butter-Cheesecake-Brownies-1576331,Double Chocolate Peanut Butter Cheesecake Brownies,3900.0,Maebells,4
Dulce-Frosted-Chipotle-Brownies-1290563,Dulce-Frosted Chipotle Brownies,7500.0,Betty Crocker,3
Simple-Fudge-Brownies-1262375,Simple Fudge Brownies,2700.0,A Nerd Cooks,4
Brownie-Heart-Cupcakes-Martha-Stewart-225200,Brownie Heart Cupcakes,3300.0,Martha Stewart,5
Chocolate-_-Frangelico-brownies-638892,Chocolate & Frangelico brownies,3000.0,the second pancake,4
The-Ultimate-Brownie-Recipe-Guide-1270471,The Ultimate Brownie Recipe Guide,2700.0,Relish,3
French-Silk-Brownie-Pie-499336,French Silk Brownie Pie,2400.0,Pinch of Yum,4
Mocha-Fudge-Walnut-Brownies-1052244,Mocha-Fudge-Walnut Brownies,2700.0,What A Girl Eats,4
Fudgy-Cheesecake-Brownies-1059394,Fudgy Cheesecake Brownies,3000.0,Moms & Munchkins,4
Triple-Chocolate-Brownies-472882,Triple Chocolate Brownies,2700.0,Recipe Girl,5
Peppermint-bark-brownies-304935,Peppermint Bark Brownies,3900.0,Serious Eats,5
Vegan-Brownies-440263,Vegan Brownies,4500.0,Oh She Glows,5
Frosted-Buttermilk-Brownies-1166255,Frosted Buttermilk Brownies,3900.0,Hugsand Cookies xoxo,4
German-Chocolate-Brownies-1245434,German Chocolate Brownies,2400.0,I Heart Nap Time,4
Espresso-Dulce-de-Leche-Brownies-1313789,Espresso Dulce de Leche Brownies,2700.0,Smells Like Home,4
Gluten-Free-Brownie-Sundae-1036353,Gluten-Free Brownie Sundae,2700.0,Vegan a la mode,4
Raw-Chocolate-Brownie-754085,Raw Chocolate Brownie,2400.0,Madeleine Shaw,4
Frozen-mini-mint-fudge-brownie-sandwiches-298510,Frozen Mini Mint Fudge Brownie Sandwiches,300.0,Unilever North America,4
Diet-Coke-Butterscotch-Brownies-1473339,Diet Coke Butterscotch Brownies,2400.0,"Dinners, Dishes and Desserts",4
Peanut-Butter-Cheesecake-Brownies-1322179,Peanut Butter Cheesecake Brownies,4500.0,Roxana's Home Baking,4
The-Best-Brownie-Mix-636602,The Best Brownie Mix,2700.0,Crazy For Crust,3
Peanut-Butter-Pretzel-Brownies-1261798,Peanut Butter-Pretzel Brownies,2700.0,Betty Crocker,3
Cherry-Bomb-Brownies-1444010,Cherry Bomb Brownies,2100.0,This Lil Piglet,4
